dataid,city,building_type,total_square_footage,house_construction_year,egauge_min_time,egauge_max_time
26,Austin,Single-Family Home,2075.0,2008.0,2012-11-03 00:00:00,2017-12-02 09:59:00
77,Austin,Single-Family Home,2669.0,2009.0,2014-06-06 05:00:00,2017-07-23 08:34:00
93,Austin,Single-Family Home,2934.0,1993.0,2012-12-09 00:00:00,2017-12-02 08:59:00
114,Austin,Single-Family Home,1842.0,2008.0,2013-10-16 00:00:00,2017-12-02 08:31:00
171,Austin,Single-Family Home,2376.0,2008.0,2012-05-03 00:00:00,2017-12-02 08:59:00
187,Austin,Single-Family Home,2122.0,2008.0,2012-05-16 00:00:00,2017-11-13 12:32:00
252,Austin,Single-Family Home,2669.0,2008.0,2012-12-12 00:00:00,2017-12-02 08:59:00
330,Austin,Single-Family Home,,,2017-05-01 00:00:00,2017-12-02 09:59:00
364,Austin,Single-Family Home,2196.0,2008.0,2014-04-30 05:00:00,2015-12-11 06:00:00
370,Austin,Single-Family Home,2680.0,2007.0,2012-07-11 05:00:00,2017-12-02 11:59:00
379,Austin,Single-Family Home,4080.5,2009.0,2015-09-26 05:00:00,2017-12-02 12:59:00
434,Austin,Single-Family Home,2158.0,2007.0,2013-02-25 21:01:00,2017-12-02 13:35:00
483,Austin,Single-Family Home,3249.0,2008.0,2015-06-23 05:00:00,2017-11-13 09:59:00
499,Austin,Single-Family Home,1709.0,1958.0,2013-10-11 00:00:00,2017-12-02 10:31:00
545,Austin,Single-Family Home,2345.0,2007.0,2012-08-13 00:00:00,2017-12-02 10:31:00
555,Austin,Single-Family Home,1972.0,2008.0,2012-09-18 00:00:00,2014-07-31 23:59:00
585,Austin,Single-Family Home,1720.0,2008.0,2012-01-01 06:00:00,2017-12-01 09:59:00
624,Austin,Single-Family Home,2227.0,1948.0,2012-10-28 00:00:00,2017-06-29 07:59:00
661,Austin,Single-Family Home,1842.0,2007.0,2013-09-08 00:00:00,2017-12-02 10:59:00
668,Austin,Single-Family Home,1972.0,2008.0,2014-09-18 05:00:00,2017-12-02 09:59:00
744,Austin,Single-Family Home,2351.0,,2012-01-01 06:00:00,2017-12-02 10:33:00
781,Austin,Single-Family Home,1946.0,2012.0,2014-07-18 05:00:00,2017-12-02 09:59:00
861,Austin,Single-Family Home,1946.0,2007.0,2012-03-20 00:00:00,2015-11-30 23:59:00
890,Austin,Single-Family Home,2196.0,2008.0,2012-05-03 00:00:00,2017-12-02 12:34:00
936,Austin,Single-Family Home,1736.0,1955.0,2013-10-10 00:00:00,2016-04-17 10:59:00
974,Austin,Single-Family Home,3678.0,2008.0,2014-07-12 05:00:00,2017-12-02 08:59:00
991,Austin,Single-Family Home,2919.0,2010.0,2012-05-02 06:00:00,2012-08-31 05:00:00
1103,Austin,Single-Family Home,2122.0,2007.0,2012-05-03 00:00:00,2017-12-02 11:59:00
1153,Austin,Single-Family Home,3249.0,2008.0,2012-12-12 00:00:00,2015-03-22 04:59:00
1169,Austin,Single-Family Home,1469.0,2008.0,2012-05-12 00:00:00,2017-12-02 09:47:00
1185,Austin,Single-Family Home,2122.0,2007.0,2012-05-23 00:00:00,2017-12-02 11:59:00
1192,Austin,Single-Family Home,2122.0,2008.0,2012-09-18 00:00:00,2017-12-02 09:33:00
1283,Austin,Single-Family Home,2679.5,2007.0,2012-05-03 00:00:00,2017-04-12 12:59:00
1354,Austin,Single-Family Home,,,2016-01-13 06:00:00,2017-12-02 12:32:00
1415,Austin,Single-Family Home,1720.0,2008.0,2014-07-15 05:00:00,2017-12-02 12:35:00
1464,Austin,Single-Family Home,2345.0,2007.0,2012-10-20 00:00:00,2014-03-05 23:59:00
1508,Austin,Single-Family Home,2122.0,,2012-12-12 00:00:00,2015-07-02 07:32:00
1601,Austin,Single-Family Home,2340.0,2007.0,2012-05-12 00:00:00,2014-10-27 23:59:00
1642,Austin,Single-Family Home,1720.0,2007.0,2012-05-12 00:00:00,2017-12-02 11:59:00
1697,Austin,Single-Family Home,2236.0,2008.0,2012-05-26 00:00:00,2017-12-02 10:59:00
1714,Austin,Single-Family Home,1934.0,1950.0,2012-08-09 00:00:00,2017-12-02 11:59:00
1718,Austin,Single-Family Home,2710.0,2008.0,2012-05-16 00:00:00,2017-12-02 10:59:00
1782,Austin,Single-Family Home,2669.0,2009.0,2012-05-22 06:00:00,2014-07-06 23:59:00
1790,Austin,Single-Family Home,3023.0,2008.0,2014-05-02 05:00:00,2017-02-28 23:59:00
1791,Austin,Single-Family Home,2631.5,2008.0,2014-03-13 05:00:00,2016-09-12 13:59:00
1792,Austin,Single-Family Home,2001.0,2008.0,2012-05-03 00:00:00,2017-12-02 10:32:00
1800,Austin,Single-Family Home,2075.0,2008.0,2012-12-12 00:00:00,2017-12-01 09:59:00
1801,Austin,Single-Family Home,2075.0,2008.0,2012-10-28 00:00:00,2017-07-26 10:59:00
2018,Austin,Single-Family Home,3023.0,2008.0,2013-11-14 00:00:00,2017-12-02 11:59:00
2072,Austin,Single-Family Home,3023.0,2008.0,2012-05-16 00:00:00,2017-12-02 11:17:00
2094,Austin,Single-Family Home,2310.0,2007.0,2012-05-03 00:00:00,2017-11-13 08:32:00
2129,Austin,Single-Family Home,2075.0,2008.0,2012-05-16 00:00:00,2017-12-02 11:32:00
2199,Austin,Single-Family Home,1382.0,2002.0,2012-05-16 00:00:00,2017-12-02 10:59:00
2233,Austin,Single-Family Home,3245.0,2008.0,2012-05-03 00:00:00,2017-11-14 12:59:00
2335,Austin,Single-Family Home,2710.0,2008.0,2012-05-26 05:00:00,2017-11-13 11:59:00
