,overlap_length_yrs,overlap_start,overlap_end,segment_count,segment_list
1431,2.0993150684931505,1348790400,1414994400,100,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
1537,2.0657515220700153,1348790400,1413935940,101,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
1615,2.0821898782343986,1348790400,1414454340,101,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
4146,2.01986301369863,1351296000,1414994400,108,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3039,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7536,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737,9982"
4315,2.0027378234398783,1351296000,1414454340,109,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3039,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7536,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737,9982"
4337,2.0493131659056316,1351296000,1415923140,108,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3039,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7536,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737,9982"
10246,2.0684912480974127,1350691200,1415923140,103,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
10283,2.021915905631659,1350691200,1414454340,104,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
10351,2.039041095890411,1350691200,1414994400,103,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
10368,2.0054775494672756,1350691200,1413935940,104,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
