dataid,building_type,city,pv,house_construction_year,total_square_footage,egauge_min_time,egauge_max_time,use,grid,gen
26,Single-Family Home,Austin,yes,2008,2075,11/02/2012 19:00,12/31/2016 3:59,yes,yes,yes
77,Single-Family Home,Austin,yes,2009,2669,06/06/2014 0:00,12/31/2016 2:33,yes,yes,yes
93,Single-Family Home,Austin,yes,1993,2934,12/08/2012 18:00,12/31/2016 2:30,yes,yes,yes
114,Single-Family Home,Austin,yes,2008,1842,10/15/2013 19:00,12/31/2016 3:59,yes,yes,yes
171,Single-Family Home,Austin,yes,2008,2376,05/02/2012 19:00,12/31/2016 4:59,yes,yes,yes
187,Single-Family Home,Austin,yes,2008,2122,05/15/2012 19:00,12/31/2016 8:59,yes,yes,yes
252,Single-Family Home,Austin,yes,2008,2669,12/11/2012 18:00,12/31/2016 2:59,yes,yes,yes
364,Single-Family Home,Austin,yes,2008,2196,04/30/2014 0:00,12/11/2015 0:00,yes,yes,yes
370,Single-Family Home,Austin,yes,2007,2680,07/11/2012 0:00,12/31/2016 2:59,yes,yes,yes
379,Single-Family Home,Austin,yes,2009,4080.5,09/26/2015 0:00,12/31/2016 7:37,yes,yes,yes
483,Single-Family Home,Austin,yes,2008,3249,06/23/2015 0:00,12/31/2016 2:59,yes,yes,yes
499,Single-Family Home,Austin,yes,1958,1709,10/10/2013 19:00,12/31/2016 3:56,yes,yes,yes
545,Single-Family Home,Austin,yes,2007,2345,08/12/2012 19:00,12/31/2016 5:59,yes,yes,yes
555,Single-Family Home,Austin,yes,2008,1972,09/17/2012 19:00,07/31/2014 18:59,yes,yes,yes
585,Single-Family Home,Austin,yes,2008,1720,01/01/2012 0:00,12/31/2016 3:59,yes,yes,yes
624,Single-Family Home,Austin,yes,1948,2227,10/27/2012 19:00,12/31/2016 4:59,yes,yes,yes
661,Single-Family Home,Austin,yes,2007,1842,09/07/2013 19:00,12/31/2016 7:59,yes,yes,yes
668,Single-Family Home,Austin,yes,2008,1972,09/18/2014 0:00,12/31/2016 6:59,yes,yes,yes
744,Single-Family Home,Austin,yes,,2351,01/01/2012 0:00,12/31/2016 3:59,yes,yes,yes
781,Single-Family Home,Austin,yes,2012,1946,07/18/2014 0:00,12/31/2016 7:59,yes,yes,yes
861,Single-Family Home,Austin,yes,2007,1946,03/19/2012 19:00,11/30/2015 17:59,yes,yes,yes
890,Single-Family Home,Austin,yes,2008,2196,05/02/2012 19:00,12/31/2016 2:59,yes,yes,yes
